,load,inPin,inDirection,inSupply,driver,outPin,outDirection,outSupply
20530,gen12p93dl2/gtslice1/gtssm1/gteutop3,dftring_gtssm_out2_gteutop_in2.any_pkt.opcode[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm1/gteusystop3,dftring_gteusystop_out1_gtssm_in1.any_pkt.opcode[0],out,VCCGT
20552,gen12p93dl2/gtslice1/gtssm0/gteutop6,dftring_gtssm_out1_gteutop_in1.any_pkt.data[10],in,VCCGT,gen12p93dl2/gtslice1/gtssm0/gtlscpar11,dftring_gtlscpar1_out3_gteutop_in1.any_pkt.data[10],out,VCCGT
20569,gen12p93dl2/gtslice0/gtssm0/gtssmpar31,starb_st_interface.invert_overload.arr_vinvert[0][0],in,VCCGT,gen12p93dl2/gtslice0/gtssm0/gtssmpar21,starb_st_interface.invert_overload.arr_vinvert[0][0],out,VCCGT
20584,gen12p93dl2/gtmempipe0/gtl3bankm4,pma2gcp_corerst,in,VCCGT,gen12p93dl2/gtmempipe0/gtl3bankm5,pma2gcp_corerst_ft_out,out,VCCGT
20602,gen12p93dl2/gtslice0/gtssm0/gteutop3,dftring_gtssm_out1_gteutop_in1.any_pkt.done,in,VCCGT,gen12p93dl2/gtslice0/gtssm0/gtssmpar51,dftring_gtssmpar5_out1_gteutop_in1.any_pkt.done,out,VCCGT
20633,gen12p93dl2/gtslice1/gtssm1/gtssmpar11,rt_dfpd_oa_ext_events.rt_traversal_stall_count,in,VCCGT,gen12p93dl2/gtslice1/gtssm1/gtssmpar51,rt_dfpd_oa_ext_events.rt_traversal_stall_count,out,VCCGT
20658,gen12p93dl2/gtslice0/gtsc1/gtfixpar11,gs_sol_data.odd_pkt.recycle,in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtscmtfixpar11,gs_sol_data.odd_pkt.recycle,out,VCCGT
20763,gen12p93dl2/gtslice0/gtssm0/gteutop7,dpas_ga_dst_addr_pre1[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm0/gteusystop7,dpas_ga_dst_addr_pre1[0],out,VCCGT
20789,gen12p93dl2/gtslice0/gtsc1/gtzpipepar21,rcpfe_zpbe_cmd_put,in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtcpipepar21,rcpfe_zpbe_cmd_put,out,VCCGT
20825,gen12p93dl2/gtmempipe0/gtmpnode01/gtnode0lnepar11,rru_lne_rr_creditrel_2,in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtxetlbpar21,rru_lne_rr_creditrel_0,out,VCCGT
20826,gen12p93dl2/gtmempipe0/gtmpnode11/gtnode1lnepar11,rru_lne_rr_creditrel_2,in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtxetlbpar21,rru_lne_rr_creditrel_1,out,VCCGT
20889,gen12p93dl2/gtslice1/gtssm0/gtssmpar61,dftring_gteutop_out2_gtssmpar6_in2.any_pkt.opcode[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm0/gteutop7,dftring_gteutop_out2_gtssm_in2.any_pkt.opcode[0],out,VCCGT
20932,gen12p93dl2/gtslice1/gtsc1/gtcpipepar11,vdmodi_gtcpipepar2_gtcpipepar1_chain.td,in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtcpipepar21,vdmodi_gtcpipepar2_gtcpipepar1_chain.td,out,VCCGT
20933,gen12p93dl2/gtslice1/gtssm0/gteutop2,ma_eu_bus_data_sb.sb.sbid[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm0/gtssmpar11,ma_eu_bus_data_sb_2.sb.sbid[0],out,VCCGT
20975,gen12p93dl2/gtslice0/gtssm0/gtssmpar51,dftring_gtssmpar6_rptr1_gtssmpar5_rptr3.any_pkt.ring_ungate,in,VCCGT,gen12p93dl2/gtslice0/gtssm0/gtssmpar61,dftring_gtssmpar6_rptr1_gtssmpar5_rptr3.any_pkt.ring_ungate,out,VCCGT
21009,gen12p93dl2/gtslice1/gtssm3/gtssmpar11,samp_ma_interface.sb.eom,in,VCCGT,gen12p93dl2/gtslice1/gtssm3/gtssmpar31,samp_ma_interface_0.sb.eom,out,VCCGT
21100,gen12p93dl2/gtslice1/gtsc1/gtcpipepar11,sbe_nodex_cmd_pkt_0.ext_attrib.fmt0.sarb_pf_len[0],in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtrasterpar21,sbe_nodex_cmd_pkt_0.ext_attrib.fmt0.sarb_pf_len[0],out,VCCGT
21118,gen12p93dl2/gtslice1/gtsc1/gtfixpar11,gs_gafsrd_cmd_pkt.ext_attrib.fmt0.reserved[10],in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtscmtfixpar11,gs_gafsrd_cmd_pkt.ext_attrib.fmt0.reserved[10],out,VCCGT
21123,gen12p93dl2/gtslice1/gtssm3/gtssmpar31,mcrgtssmpar6_i_sender_target_inf_up,in,VCCGT,gen12p93dl2/gtslice1/gtssm2/gtssmpar31,mcrgtssmpar6_i_sender_target_inf_up_ft_out,out,VCCGT
21205,gen12p93dl2/gtslice0/gtssm1/gtssmpar21,dftring_gteutop_out2_gtssmpar2_in2.any_pkt.error,in,VCCGT,gen12p93dl2/gtslice0/gtssm1/gteutop5,dftring_gteutop_out2_gtssm_in2.any_pkt.error,out,VCCGT
21402,gen12p93dl2/gtslice0/gtssm3/gtlscpar11,gdtu_dftaf_inf_fifptr_reset,in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar31,gdtu_dftaf_inf_fifptr_reset_ft_out,out,VCCGT
21403,gen12p93dl2/gtslice0/gtssm3/gtssmpar11,gdtu_dftaf_inf_fifptr_reset,in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar31,gdtu_dftaf_inf_fifptr_reset_ft_out,out,VCCGT
21404,gen12p93dl2/gtslice0/gtssm3/gtssmpar21,gdtu_dftaf_inf_fifptr_reset,in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar31,gdtu_dftaf_inf_fifptr_reset_ft_out,out,VCCGT
21405,gen12p93dl2/gtslice0/gtssm3/gtssmpar41,gdtu_dftaf_inf_fifptr_reset,in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar31,gdtu_dftaf_inf_fifptr_reset_ft_out,out,VCCGT
21406,gen12p93dl2/gtslice0/gtssm3/gtssmpar51,gdtu_dftaf_inf_fifptr_reset,in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar31,gdtu_dftaf_inf_fifptr_reset_ft_out,out,VCCGT
21500,gen12p93dl2/gtmempipe0/gtl3bankmtieoffpar21,gtmempipe_ft_tieoff_ext_2_exttie__gtl3bankm2_gtmempipe_ft__gtmempipe0_gtl3bankm0_lsqcunit1_sender_ext_lsqcunit_lsqccore_lsqcctrl_lsqccomprdrtnctrl_comp_sender_sender_I_data.clientid.locid[0],in,VCCGT,gen12p93dl2/gtmempipe0/gtl3bankm2,ft_l3bankout_node_cmp_pkt_0_R_LR.clientid.locid[0],out,VCCGT
21564,gen12p93dl2/gtslice1/gtssm0/gteutop1,dftevent_ssm_eutop.packet_raw.dt_lcp_pulse,in,VCCGT,gen12p93dl2/gtslice1/gtssm0/gtlscpar11,dftevent_ssm_eutop1_bus.packet_raw.dt_lcp_pulse,out,VCCGT
21571,gen12p93dl2/gtslice1/gtssm2/gtssmpar11,samp_ma_interface.sb.start,in,VCCGT,gen12p93dl2/gtslice1/gtssm2/gtssmpar31,samp_ma_interface_0.sb.start,out,VCCGT
21792,gen12p93dl2/gtslice1/gtssm0/gtssmpar11,sts_tsl_data.sb.start_of_disp,in,VCCGT,gen12p93dl2/gtslice1/gtssm0/gtssmpar51,sts_tsl_data.sb.start_of_disp,out,VCCGT
21823,gen12p93dl2/gtsqmcxlinf1/gtgacspar21,te_ted_inf_data_1[0],in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtscmtfixpar11,te_ted_inf_data[0],out,VCCGT
21966,gen12p93dl2/gtslice0/gtssm1/gtssmpar21,eu_lsc_sb[10],in,VCCGT,gen12p93dl2/gtslice0/gtssm1/gteutop4,eu_lsc_sb[10],out,VCCGT
21978,gen12p93dl2/gtmempipe0/gtmpnode01/gtnode0lnipar11,slxetlb_lnic_cmd_pkt_1__3.ext_attrib.fmt0.sarb_pf_len[0],in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtxetlbpar21,slxetlb_lnic_cmd_pkt_0__1.ext_attrib.fmt0.sarb_pf_len[0],out,VCCGT
22000,gen12p93dl2/gtslice0/gtssm1/gteutop6,dftring_gtssm_out2_gteutop_in2.any_pkt.opcode[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm1/gteusystop6,dftring_gteusystop_out1_gtssm_in1.any_pkt.opcode[0],out,VCCGT
22058,gen12p93dl2/gtslice1/gtssm0/gtlscpar11,dftring_gteutop_out2_gtlscpar1_in4.any_pkt.opcode[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm0/gteutop2,dftring_gteutop_out2_gtssm_in2.any_pkt.opcode[0],out,VCCGT
22198,gen12p93dl2/gtsqmcxlinf1/gtsqidim1/gtsqidim1par11,mbgf_msqcr_rsp_pkt_1.sqidi_tag.cl_index[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtsqbgfpar1/gtsqbgf_vccgt_wrap11,mbgf_midi_u2crsp_pkt_0_1.sqidi_tag.cl_index[0],out,VCCGT
22267,gen12p93dl2/gtslice1/gtssm1/gteutop4,dftring_gtssm_out1_gteutop_in1.any_pkt.done,in,VCCGT,gen12p93dl2/gtslice1/gtssm1/gtssmpar31,dftring_gtssmpar3_out1_gteutop_in1.any_pkt.done,out,VCCGT
22277,gen12p93dl2/gtslice1/gtssm3/gtssmpar51,dftring_gteutop_out2_gtssmpar5_in2.any_pkt.done,in,VCCGT,gen12p93dl2/gtslice1/gtssm3/gteutop3,dftring_gteutop_out2_gtssm_in2.any_pkt.done,out,VCCGT
22317,gen12p93dl2/gtslice0/gtssm1/gteusystop4,row_rwr_euid_signals[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm1/gteutop4,ft_gteusystop_row_rwr_euid_signals[0],out,VCCGT
22364,gen12p93dl2/gtslice0/gtssm3/gtssmpar11,eu_lsc_sb[10],in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gteutop0,eu_lsc_sb[10],out,VCCGT
22681,gen12p93dl2/gtslice1/gtssm1/gteutop3,visaeutop_prog_bus_in.visa_startid[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm1/gtssmpar51,gteutop3_visaeutop_prog_bus_in.visa_startid[0],out,VCCGT
22789,gen12p93dl2/gtslice0/gtsc1/gtfixpar11,wmfe_gafm_cmd_pkt.ext_attrib.fmt0.mocs_index[0],in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtrasterpar11,wmfe_gafm_cmd_pkt.ext_attrib.fmt0.mocs_index[0],out,VCCGT
22844,gen12p93dl2/gtslice0/gtssm2/gtssmpar31,sc_fl_chkn_e188_bit3,in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar41,sc_fl_chkn_e188_bit3,out,VCCGT
22895,gen12p93dl2/gtslice0/gtssm2/gtssmpar51,mcrgtssmpar6_mcepsts_pc_creditrel,in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar61,mcrgtssmpar6_mcepsts_pc_creditrel,out,VCCGT
23204,gen12p93dl2/gtslice0/gtssm02tieoffpar1,gtslice_ft_tieoff_ext_exttie__gtssm1_gtslice_ft__gtslice0_gtssm1_gtssmpar61_gassunit1_sender_ext_gassunit_gass_dapfork_p1_cmd_inf_sender_sender_vc_idata.ext_attrib.fmt0.engineid[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm1/gtssmpar61,ft_gass_dapfork_p1_cmd_inf_sender_vc_odata.ext_attrib.fmt0.engineid[0],out,VCCGT
23319,gen12p93dl2/gtslice0/gtssm2/gtssmpar11,vdmodi_gtssmpar5_gtssmpar1_chain.update,in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar51,vdmodi_gtssmpar5_gtssmpar1_chain.update,out,VCCGT
23353,gen12p93dl2/gtmempipe0/gtmpnode11/gtnode1lnipar11,mcrgtnodecompar3_mcrgtnode1lnipar1_payload[0],in,VCCGT,gen12p93dl2/gtmempipe0/gtmpnodecom1/gtnodecompar31,mcrgtnodecompar3_mcrgtnode1lnipar1_payload[0],out,VCCGT
23511,gen12p93dl2/gtslice0/gtssm1/gteutop1,ma_eu_tdr_bus.tdr_euid[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm1/gtssmpar11,ma_eu_tdr_bus.tdr_euid[0],out,VCCGT
23513,gen12p93dl2/gtslice0/gtssm1/gteutop3,ma_eu_tdr_bus.tdr_euid[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm1/gtssmpar11,ma_eu_tdr_bus.tdr_euid[0],out,VCCGT
23580,gen12p93dl2/gtslice0/gtsc1/gtfixpar11,nodex_gafm_cmd_inf_up_1__0,in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtcpipepar21,nodex_gafm_cmd_inf_up_1__0,out,VCCGT
23755,gen12p93dl2/gtslice1/gtssm0/gtssmpar61,mcepsts_mcrgtssmpar6_np_creditrel,in,VCCGT,gen12p93dl2/gtslice1/gtssm0/gtssmpar51,mcepsts_mcrgtssmpar6_np_creditrel,out,VCCGT
23771,gen12p93dl2/gtmempipe0/gtmpnode11/gtnode1lnipar11,slxetlb_lnic_cmd_pkt_1__0.access_inv,in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtxetlbpar11,slxetlb_lnic_cmd_pkt_1__1.access_inv,out,VCCGT
23786,gen12p93dl2/gtslice0/gtsc1/gtcpipepar21,slsarb_nodex_slsarbout_cmd_pkt_1__0.ext_attrib.fmt0.sarb_mode[0],in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtrasterpar11,slsarb_nodex_slsarbout_cmd_pkt_1__0.ext_attrib.fmt0.sarb_mode[0],out,VCCGT
24082,gen12p93dl2/gtslice0/gtssm2/gtssmpar61,vdmodi_gtssmpar2_gtssmpar6_chain.capture,in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar21,vdmodi_gtssmpar2_gtssmpar6_chain.capture,out,VCCGT
24290,gen12p93dl2/gtslice1/gtssm3/gteusystop5,ga_dpas_inb_rdaddr[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm3/gteutop5,ga_dpas_inb_rdaddr[0],out,VCCGT
24318,gen12p93dl2/gtslice1/gtssm2/gtssmpar41,ssrouter_in_rr_pkt.data_parity,in,VCCGT,gen12p93dl2/gtslice1/gtssm2/gtssmpar11,ssrouter_out_rr_pkt_3.data_parity,out,VCCGT
24858,gen12p93dl2/gtslice0/gtssm0/gtssmpar11,eu_dfpd_oa_ext_events_7.eu_inst_executed_fp64_2nd,in,VCCGT,gen12p93dl2/gtslice0/gtssm0/gteutop7,eu_dfpd_oa_ext_events.eu_inst_executed_fp64_2nd,out,VCCGT
24870,gen12p93dl2/gtslice0/gtsc1/gtscmtfixpar21,vf_vs_data.even_pkt.enable,in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtfixpar51,vf_vs_data.even_pkt.enable,out,VCCGT
24913,gen12p93dl2/gtslice1/gtssm3/gteutop1,dftring_gtssm_out2_gteutop_in2.any_pkt.ring_ungate,in,VCCGT,gen12p93dl2/gtslice1/gtssm3/gteusystop1,dftring_gteusystop_out1_gtssm_in1.any_pkt.ring_ungate,out,VCCGT
24968,gen12p93dl2/gtmempipe0/gtl3bankm2,ft_l3bankout_node_cmp_pkt_L_LR.clientid.srcid[0],in,VCCGT,gen12p93dl2/gtmempipe0/gtl3bankmtieoffpar11,gtmempipe_ft_tieoff_dsy_2_dsytie__gtl3bankm2_gtmempipe_ft__gtmempipe0_gtl3bankm0_lsqcunit1_target_dsy_lsqcunit_lsqccore_lsqcctrl_lsqccomprdrtnctrl_comp_sender_sender_O_data.clientid.srcid[0],out,VCCGT
25011,gen12p93dl2/gtslice0/gtsc1/gtcpipepar11,cru_msc_cmp_pkt_1.clientid.tileid[0],in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtxetlbpar21,cru_msc_cmp_pkt_0__1.clientid.tileid[0],out,VCCGT
25154,gen12p93dl2/gtslice0/gtssm2/gteutop1,dftevent_ssm_eutop.packet_raw.eventbus_encoded[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtlscpar11,dftevent_ssm_eutop1_bus.packet_raw.eventbus_encoded[0],out,VCCGT
25626,gen12p93dl2/gtslice1/gtssm0/gteutop4,dftevent_ssm_eutop.packet_raw.dt_lcp_pulse,in,VCCGT,gen12p93dl2/gtslice1/gtssm0/gtssmpar21,dftevent_ssm_eutop4_bus.packet_raw.dt_lcp_pulse,out,VCCGT
25640,gen12p93dl2/gtslice0/gtssm0/gtssmpar21,daprss_lscstcache_state_cache_perf_fix_dis,in,VCCGT,gen12p93dl2/gtslice0/gtssm0/gtssmpar61,daprss_lscstcache_state_cache_perf_fix_dis,out,VCCGT
25692,gen12p93dl2/gtslice1/gtssm0/gteutop7,dpas_ga_out[320],in,VCCGT,gen12p93dl2/gtslice1/gtssm0/gteusystop7,dpas_ga_out[10][0],out,VCCGT
25737,gen12p93dl2/gtslice0/gtsc1/gtscmtfixpar21,tds_uavdec,in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtscmtfixpar11,tds_uavdec,out,VCCGT
25775,gen12p93dl2/gtslice0/gtssm2/gteutop3,dpas_ga_out[10],in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gteusystop3,dpas_ga_out[0][10],out,VCCGT
25833,gen12p93dl2/gtsqmcxlinf1/gtgacspar11,vfl_vfg_inf_up_2,in,VCCGT,gen12p93dl2/gtmempipe0/gtnoderc1,vfl_vfg_inf_up,out,VCCGT
25839,gen12p93dl2/gtslice1/gtssm0/gteutop1,ma_eu_bus_data_sb.sb.byte_en[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm0/gtssmpar11,ma_eu_bus_data_sb_1.sb.byte_en[0],out,VCCGT
25912,gen12p93dl2/gtslice1/gtssm3/gteutop6,dpas_ga_dst_addr_pre1[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm3/gteusystop6,dpas_ga_dst_addr_pre1[0],out,VCCGT
25942,gen12p93dl2/gtslice1/gtssm3/gtlscpar11,cp_cg3ddislscnode,in,VCCGT,gen12p93dl2/gtslice1/gtssm2/gtssmpar31,cp_cg3ddislscnode_ft_out,out,VCCGT
25981,gen12p93dl2/gtslice0/gtsc1/gtrasterpar11,vdmodi_gtzpipepar1_gtrasterpar1_chain.capture,in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtzpipepar11,vdmodi_gtzpipepar1_gtrasterpar1_chain.capture,out,VCCGT
26072,gen12p93dl2/gtslice1/gtsc1/gtscmtfixpar21,vf_vs_data.odd_pkt.primend,in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtfixpar51,vf_vs_data.odd_pkt.primend,out,VCCGT
26087,gen12p93dl2/gtslice0/gtssm0/gtssmpar51,input_from_parent.trstb,in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtxetlbpar21,output_to_child_1.trstb,out,VCCGT
26103,gen12p93dl2/gtslice1/gtssm2/gteutop6,visaeutop_prog_bus_in.visa_startid[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm2/gtlscpar11,gteutop6_visaeutop_prog_bus_in.visa_startid[0],out,VCCGT
26183,gen12p93dl2/gtslice0/gtssm1/gteutop4,gw_eu_notifybus_signals.named_bid[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm1/gtssmpar11,gw_eu_notifybus_signals_4.named_bid[0],out,VCCGT
26225,gen12p93dl2/gtmempipe0/gtmpnodecom1/gtnodecompar21,mcrgtnoderc_mcrgtnodecompar2_pc_creditrel,in,VCCGT,gen12p93dl2/gtmempipe0/gtnoderc1,mcrgtnoderc_mcrgtnodecompar2_pc_creditrel,out,VCCGT
26424,gen12p93dl2/gtslice0/gtsc1/gtscmtfixpar11,pss_tdg_uavdec_0,in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtcpipepar11,pss_tdg_uavdec,out,VCCGT
26428,gen12p93dl2/gtslice1/gtssm1/gteutop4,ma_eu_bus_data_sb.sb.conddbg,in,VCCGT,gen12p93dl2/gtslice1/gtssm1/gtssmpar21,ma_eu_bus_data_sb_0.sb.conddbg,out,VCCGT
26431,gen12p93dl2/gtslice1/gtssm1/gteusystop6,ga_dpas_data_inc[10][10],in,VCCGT,gen12p93dl2/gtslice1/gtssm1/gteutop6,ga_dpas_data_inc[10][10],out,VCCGT
26440,gen12p93dl2/gtslice0/gtsc1/gtscmtfixpar11,dftring_gtrasterpar1_scan1_gtscmtfixpar1_scan1.any_pkt.done,in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtrasterpar11,dftring_gtrasterpar1_scan1_gtscmtfixpar1_scan1.any_pkt.done,out,VCCGT
26509,gen12p93dl2/gtsqmcxlinf1/gtsqidim0/gtsqidim0par11,visagtgacspar1_visa_data_bypass_cr_out.visa_data_bus[0][0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtgacspar11,visagtgacspar1_visa_data_bypass_cr_out.visa_data_bus[0][0],out,VCCGT
26530,gen12p93dl2/gtslice1/gtssm0/gtssmpar61,sta_gass_cmd_pkt.ctype[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm0/gtssmpar41,sta_gass_cmd_pkt.ctype[0],out,VCCGT
26722,gen12p93dl2/gtslice1/gtsc1/gtscmtfixpar21,tdc_ff_eot_bus_1.eot_fftid[0],in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtrasterpar11,tdc_ff_eot_bus_1.eot_fftid[0],out,VCCGT
26743,gen12p93dl2/gtslice1/gtssm3/gteutop2,dftring_gtssm_out1_gteutop_in1.any_pkt.data[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm3/gtssmpar51,dftring_gtssm_out1_gteutop_in1_2.any_pkt.data[0],out,VCCGT
26849,gen12p93dl2/gtslice0/gtssm1/gtssmpar11,rt_dfpd_oa_ext_events.rt_instance_node_ray_count[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm1/gtssmpar51,rt_dfpd_oa_ext_events.rt_instance_node_ray_count[0],out,VCCGT
26908,gen12p93dl2/gtslice1/gtssm2/gteutop2,dftring_gtssm_out2_gteutop_in2.any_pkt.data[10],in,VCCGT,gen12p93dl2/gtslice1/gtssm2/gteusystop2,dftring_gteusystop_out1_gtssm_in1.any_pkt.data[10],out,VCCGT
27301,gen12p93dl2/gtslice0/gtssm2/gtssmpar61,ft_tdl_input1_hiz_tdl_sif_intf_I_data.simple_shader_begin,in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtzpipepar21,hiz_tdl_state_1.simple_shader_begin,out,VCCGT
27436,gen12p93dl2/gtslice1/gtsc1/gtfixpar31,nurb_pcp_cmp_pkt_1.coh_response[0],in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtfixpar21,nurb_pcp_cmp_pkt.coh_response[0],out,VCCGT
27443,gen12p93dl2/gtslice1/gtssm2/gtssmpar41,dftring_gtssmpar5_out3_next_mux_in2.any_pkt.data[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm3/gtssmpar51,dftring_gtssmpar5_out1_next_gtslice_in1.any_pkt.data[0],out,VCCGT
27544,gen12p93dl2/gtslice1/gtssm3/gteutop2,dftevent_ssm_eutop.packet_raw.dt_lcp_pulse,in,VCCGT,gen12p93dl2/gtslice1/gtssm3/gtlscpar11,dftevent_ssm_eutop2_bus.packet_raw.dt_lcp_pulse,out,VCCGT
27956,gen12p93dl2/gtslice1/gtssm0/gtssmpar61,ft_rru_gass_rr_inf_target_I_data.aux_parity,in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtfixpar11,rru_client_data_pkt_1.aux_parity,out,VCCGT
28077,gen12p93dl2/gtslice1/gtssm1/gteutop5,ma_eu_bus_data_sb.sb.byte_en[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm1/gtssmpar21,ma_eu_bus_data_sb_1.sb.byte_en[0],out,VCCGT
28103,gen12p93dl2/gtslice1/gtsc1/gtrasterpar11,tdl_tdc_deref_inf_up_0_1,in,VCCGT,gen12p93dl2/gtslice1/gtssm2/gtssmpar11,tdl_tdc_deref_inf_up,out,VCCGT
28189,gen12p93dl2/gtslice0/gtssm0/gteusystop0,dftevent_ssm_eusystop.packet_raw.dt_lcp_pulse,in,VCCGT,gen12p93dl2/gtslice0/gtssm0/gteutop0,dftevent_eutop_eusystop.packet_raw.dt_lcp_pulse,out,VCCGT
28254,gen12p93dl2/gtslice0/gtssm1/gtssmpar61,vdmodi_gtssmpar2_gtssmpar6_chain.shift,in,VCCGT,gen12p93dl2/gtslice0/gtssm1/gtssmpar21,vdmodi_gtssmpar2_gtssmpar6_chain.shift,out,VCCGT
28272,gen12p93dl2/gtslice0/gtssm0/gtssmpar41,dftring_gtssmpar5_out3_next_mux_in2.any_pkt.opcode[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm1/gtssmpar51,dftring_gtssmpar5_out1_next_gtslice_in1.any_pkt.opcode[0],out,VCCGT
28298,gen12p93dl2/gtslice1/gtssm3/gtssmpar21,sc_dg_chkn_e180_bit3,in,VCCGT,gen12p93dl2/gtslice1/gtssm3/gtssmpar41,sc_dg_chkn_e180_bit3,out,VCCGT
28302,gen12p93dl2/gtslice1/gtsc1/gtrasterpar21,z_dfpd_oa_int_events_1.z_rcz_cache_miss,in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtzpipepar21,z_dfpd_oa_int_events.z_rcz_cache_miss,out,VCCGT
28633,gen12p93dl2/gtslice0/gtssm0/gteutop6,dpas_ga_dv,in,VCCGT,gen12p93dl2/gtslice0/gtssm0/gteusystop6,dpas_ga_dv,out,VCCGT
28725,gen12p93dl2/gtslice1/gtssm3/gtssmpar61,mcepsts_mcrgtssmpar6_sender_target_inf_up,in,VCCGT,gen12p93dl2/gtslice1/gtssm3/gtssmpar51,mcepsts_mcrgtssmpar6_sender_target_inf_up,out,VCCGT
28812,gen12p93dl2/gtmempipe0/gtmpnode01/gtnode0lnipar11,mcrgtnode0lnepar1_mcrgtnode0lnipar1_payload[10],in,VCCGT,gen12p93dl2/gtmempipe0/gtmpnode01/gtnode0lnepar11,mcrgtnode0lnepar1_mcrgtnode0lnipar1_payload[10],out,VCCGT
29052,gen12p93dl2/gtslice0/gtssm1/gteutop5,ic_eu_instr[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm1/gtssmpar11,ic_eu_instr_5[0],out,VCCGT
29054,gen12p93dl2/gtslice0/gtsc1/gtxetlbpar11,tdl_slicexetlb_inv_req_3,in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar61,ft_tdl_svhs1_SI_tdl_xetlb_inv_O_pulse,out,VCCGT
29099,gen12p93dl2/gtslice0/gtssm2/gtssmpar11,eu_gpm_emon_events_7.threads_allocated,in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gteutop7,eu_gpm_emon_events.threads_allocated,out,VCCGT
29137,gen12p93dl2/gtslice0/gtssm1/gteutop6,ic_eu_instr[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm1/gtssmpar11,ic_eu_instr_6[0],out,VCCGT
29273,gen12p93dl2/gtslice1/gtssm1/gtssmpar51,vdmodi_chain_out.tck,in,VCCGT,gen12p93dl2/gtslice1/gtssm1/gtssmpar61,vdmodi_chain_out.tck,out,VCCGT
29509,gen12p93dl2/gtslice0/gtssm3/gteutop4,dftring_gtssm_out1_gteutop_in1.any_pkt.data[10],in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar31,dftring_gtssmpar3_out1_gteutop_in1.any_pkt.data[10],out,VCCGT
